file	category	action_or_scene	resolution	duration_seconds	audio	show_usage	release_status
companion-master-landscape.mov	master	角色母片	1280x720	4.096	AAC	架构/母片章节	prototype_rights_review_required
companion-event-task_complete.mov	event	任务完成	1280x720	4.096	AAC	冷开场/片尾	prototype_rights_review_required
companion-action-0.mov	action	喝水	1280x720	4.096	AAC	九动作蒙太奇	prototype_rights_review_required
companion-action-1.mov	action	伸展	1280x720	4.096	AAC	九动作蒙太奇	prototype_rights_review_required
companion-action-2.mov	action	鼓掌	1280x720	4.096	AAC	番茄钟改造示例	prototype_rights_review_required
companion-action-3.mov	action	跳跃	1280x720	4.096	AAC	九动作蒙太奇	prototype_rights_review_required
companion-action-4.mov	action	转圈	1280x720	4.096	AAC	九动作蒙太奇	prototype_rights_review_required
companion-action-5.mov	action	大笑	1280x720	4.096	AAC	九动作蒙太奇	prototype_rights_review_required
companion-action-6.mov	action	比心	1280x720	4.096	AAC	九动作蒙太奇	prototype_rights_review_required
companion-action-7.mov	action	飞吻	1280x720	4.096	AAC	九动作蒙太奇	prototype_rights_review_required
companion-action-8.mov	action	加油	1280x720	4.096	AAC	九动作蒙太奇	prototype_rights_review_required
companion-head-calm.mov	head	平静	232x232	4.042	silent	小头像待机	prototype_rights_review_required
companion-head-curious.mov	head	好奇	232x232	4.042	silent	踩坑章节	prototype_rights_review_required
companion-head-giggle.mov	head	偷笑	232x232	4.042	silent	小头像蒙太奇	prototype_rights_review_required
companion-head-kiss.mov	head	飞吻	232x232	4.042	silent	小头像蒙太奇	prototype_rights_review_required
companion-head-scene-bed.mov	mini_scene	床边留位	640x640	4.096	AAC	生活场景演示	prototype_rights_review_required
companion-head-scene-kitchen.mov	mini_scene	厨房偷喂	640x640	4.096	AAC	冷开场/生活场景	prototype_rights_review_required
companion-head-scene-vanity.mov	mini_scene	梳妆飞吻	640x640	4.096	AAC	生活场景演示	prototype_rights_review_required
companion-head-scene-workout.mov	mini_scene	健身陪练	640x640	4.096	AAC	生活场景演示	prototype_rights_review_required
companion-idle-body.mov	idle	半身待机	496x864	4.042	silent	三形态演示	prototype_rights_review_required
companion-scene-bedtime.mov	fantasy_scene	睡前场景	496x864	4.042	silent	生活/幻想演示	prototype_rights_review_required
companion-scene-moon-dance.mov	fantasy_scene	月球跳舞	496x864	4.042	silent	幻想场景演示	prototype_rights_review_required
companion-scene-lunar-orbit.mov	fantasy_scene	月面轨道	1280x720	4.096	AAC	幻想场景演示	prototype_rights_review_required
companion-scene-undersea-room.mov	fantasy_scene	海底玻璃房	1280x720	4.096	AAC	幻想场景演示	prototype_rights_review_required
companion-scene-time-cafe.mov	fantasy_scene	时间咖啡馆	1280x720	4.096	AAC	幻想场景演示	prototype_rights_review_required
companion-scene-rain-portal.mov	fantasy_scene	雨夜传送门	1280x720	4.096	AAC	冷开场/幻想场景	prototype_rights_review_required

